Title,Lien,Baseline,Difficulty,Featured,Logo,Typologie,Published,Categorie,opensource,Pratiques,Objectifs projet,Défis,Défis créatifs,Lien d'apprentissage,Qui ?
Niice,https://niice.co/,Niice agit comme un Pinterest collaboratif. On peut partager des bibliothèques d'images et régir dessus,2,,Niice_Niiceapp__Twitter (https://dl.airtable.com/jjBa2WTzqHEmkeFerWQw_Niice_Niiceapp__Twitter),Plateforme,checked,Image,,Design graphique,Communiquer,,,,
Paper sizes,https://papersizes.io/,Liste des références internationales de toutes les tailles de papier en mm et pouces.,1,,Amit_Agarwal_on_Twitter_UsefulWebsites_papersizes.io_is_handy_... (https://dl.airtable.com/.attachments/6030a9db6efdbb1bf2e253b02896cf5b/927383ca/Amit_Agarwal_on_Twitter_UsefulWebsites_papersizes.io_is_handy_...),Bibliothèque,checked,Image,,Design graphique,Communiquer,,,,
Pixelmator Pro,https://www.pixelmator.com/pro/,,,,Pixelmator_3.3_Limestone_Out_Now_prMac (https://dl.airtable.com/t9PUTRRNyNEY2dX2keqg_Pixelmator_3.3_Limestone_Out_Now_prMac),App,,Image,,Design graphique,Communiquer,,,,
Poster builder,https://fr.postermywall.com/index.php/posterbuilder,,1,,PosterMyWall.com_on_Twitter_Dont_worry_its_never_too_late__ (https://dl.airtable.com/.attachments/4a0e16d68c44f60e339c55295bb3d94a/9f47d814),Webapp,,Image,,Design graphique,Communiquer,,Inspiration poster ,,
remove bg,http://remove.bg,Outil en ligne qui s'appuie sur l'intelligence artificielle pour effacer le fond d'une image. Une API permet de l'intégrer facilement à un outil.,3,,Remove.bg_Review__Forget_Photoshop_and_Use_Remove.bg__Technology_... (https://dl.airtable.com/.attachments/4e0fd23976fe359810a73993268b3b34/05a465df/Remove.bg_Review__Forget_Photoshop_and_Use_Remove.bg__Technology_...),"Webapp,API",checked,Image,,Design graphique,Communiquer,,,,
Tineye,https://www.tineye.com/,Outil de recherche d'image inversée. Permet de retrouver où une image a été utilisée ailleurs sur Internet. ,1,,TinEye_Logo__Internet__Logonoid.com (https://dl.airtable.com/0LwmQnBITdPFsv8296ns_TinEye_Logo__Internet__Logonoid.com),Webapp,checked,Image,,Design graphique,Communiquer,,,,
TinyPNG,https://tinypng.com/,"Allégez vos images pour le web ! Permet de faire baisser facilement la taille des images pour qu'elles soient plus faciles à utiliser sur le web.
",1,,TinyPNG_-_bookmarks.design (https://dl.airtable.com/.attachments/9ed085f1eb61e01c48223b4bf4cc9c5e/262259fa/TinyPNG_-_bookmarks.design),Webapp,checked,Image,,Design graphique,Communiquer,,,,
Unsplash ,http://unsplash.com,"Grande bibliothèque participative d'images gratuites et libres de droits. On y trouve surtout des images de nature, mais ça permet de changer de images de stock habituelles... ",1,checked,Unsplash_on_Twitter_We_have_a_new_logo__httpst.coA0u15tRhha_ (https://dl.airtable.com/AAuGmOTJSTeoZzd02peO_Unsplash_on_Twitter_We_have_a_new_logo__httpst.coA0u15tRhha_),"Bibliothèque,API",checked,Image,,Design graphique,Communiquer,"Landing page,Pitchdeck",,,
Whiteboard,https://witeboard.com/,Outil de dessin in-browser : un vrai 'whiteboard' simple et collaboratif en ligne.,2,,AWW_App__Online_Whiteboard_for_Realtime_Visual_Collaboration (https://dl.airtable.com/yt9z1FAlSJmZlXIWwsHg_AWW_App__Online_Whiteboard_for_Realtime_Visual_Collaboration),Webapp,checked,Image,,Design graphique,Communiquer,,,,
Wide gender images,https://broadlygenderphotos.vice.com/,Bibliothèque de photos qui sortent des stéréotypes de genre habituels.,1,,Broadlys_Gender-Inclusive_Stock_Photos_-_COOL_HUNTING (https://dl.airtable.com/.attachments/76e27ec6ec39c046fc46083b8f8749f8/ca19fe95/Broadlys_Gender-Inclusive_Stock_Photos_-_COOL_HUNTING),Bibliothèque,checked,Image,,Design graphique,Communiquer,"Persona,Landing page",,,
Are.na,http://are.na,Plateforme de partage de liens surtout utilisé par la communauté artistique,2,,Are.na_AREdotNA__Twitter (https://dl.airtable.com/.attachments/15e0fb53f6addb19d0727c58960a45f3/123d903e),Plateforme,checked,Gestion de connaissance,,,,,,,
Evernote ,https://evernote.com/intl/fr,Application de référence pour la prise de notes. Elle n'a quasiment pas évolué depuis 10 ans mais reste pratique,1,,Evernote__Slack_App_Directory (https://dl.airtable.com/RxGEZJ8USr2axV0Op3XF_Evernote__Slack_App_Directory),"App,Logiciel",checked,Gestion de connaissance,,,"S'organiser,Documenter",,,,
Framapad ,https://framapad.org/fr/,Outil d'écriture collaborative en ligne. Chaque utilisateur a sa couleur. Possibilité d'installer aussi sa propre instance de pad,1,,Aix_-_Marseille_-_Outils_numriques_-_Italien (https://dl.airtable.com/WKjRuxfiT2Cjw22XlGVs_Aix_-_Marseille_-_Outils_numriques_-_Italien),Webapp,checked,Gestion de connaissance,checked,Open Source,"S'organiser,Documenter",,,,
Gitbook ,https://www.gitbook.com/,Gitbook est une application pour faire de l'écriture collaborative. Idéal pour de la documentation. Dévelopép en France.,3,checked,GitBookIO_on_Twitter_Working_on_a_fix_for_custom_GitBook_domains_... (https://dl.airtable.com/Wr87RwU1TLuTRhSOLpJN_GitBookIO_on_Twitter_Working_on_a_fix_for_custom_GitBook_domains_...),Logiciel,checked,Gestion de connaissance,,,"S'organiser,Documenter",,,,
Hackmd,http://hackmd.io,"Hackmd est un outil d'écriture collaborative en ligne, basé sur le markdown. Très pratique pour documenter du code par exemple. La vue séparée permet de voir le résultat directement",2,,HackMD__Crunchbase (https://dl.airtable.com/8YUNcbISFyUuB5Vx0t1T_HackMD__Crunchbase),Plateforme,checked,Gestion de connaissance,,,,,,,
Milanote ,https://www.milanote.com/,"Application de prise de note, plus visuelle qu'Evernote. On peut combiner des images et du texte sur des planches",2,,11_Best_Milanote_Alternatives__Reviews__Pros__Cons_-_Alternative.me (https://dl.airtable.com/ItkQCisdQbuzi8d7CO3g_11_Best_Milanote_Alternatives__Reviews__Pros__Cons_-_Alternative.me),"App,Logiciel",checked,Gestion de connaissance,,,"S'organiser,Documenter","Moodboards,Product collage,Mindmap du sujet,Modélisation ",,,
Notion,http://notion.so,Notion est une plateforme d'écriture collaborative. Des templates de pages permettent de faire aussi bien des rapports de réunion que de la comptabilité. ,3,checked,Notion_NotionHQ__Twitter (https://dl.airtable.com/lGylNFPSOqdo4eYJzN9n_Notion_NotionHQ__Twitter),"Plateforme,App",checked,Gestion de connaissance,,,"S'organiser,Documenter",,,,
Paper,http://paper.dropbox.com,"Paper est la nouvelle addition à la famille Dropbox, suite au rachat de hackpad. Très pratique à utiliser en équipe",2,,Paper_by_Dropbox_on_the_App_Store (https://dl.airtable.com/6GknUEFRPOR0FqloBFgr_Paper_by_Dropbox_on_the_App_Store),"Plateforme,App",checked,Gestion de connaissance,,,"S'organiser,Documenter",,,,
Slite,https://slite.com/,Plateforme de documentation pour son organisation. Un Notion à la française. ,2,,Slite_sliteHQ__Twitter (https://dl.airtable.com/ohKLrU6MT729gmxyISIj_Slite_sliteHQ__Twitter),"Plateforme,App",checked,Gestion de connaissance,,,"S'organiser,Documenter",,,,
Speach.me,https://speach.me/,Plateforme de formation vidéo (rich media) d'entreprise,2,,FileLogo_SpeachMe.jpg_-_Wikimedia_Commons (https://dl.airtable.com/.attachments/56299b3ec59dbd6fdc3a674922988079/65731573/FileLogo_SpeachMe.jpg_-_Wikimedia_Commons),Plateforme,checked,Gestion de connaissance,,,,,,,
Tribe ,http://tribe.so,Tribe est une plateforme de gestion de communautés. Des modules permettent d'ajouter des fonctionnalités,3,,Tribe_Community_Platform__Crunchbase (https://dl.airtable.com/.attachments/9f9680ebdf01d2ff1dff1b4329a7a9b0/4739dc21/Tribe_Community_Platform__Crunchbase),Plateforme,checked,Gestion de connaissance,,,"S'organiser,Documenter",,,,
wiki.js,http://wiki.js.org,Système de wiki opensource basé sur node.js,4,,Wiki.js_-_Requarks_Tech_Stack__StackShare (https://dl.airtable.com/azapqFCUTXykkaS81NbS_Wiki.js_-_Requarks_Tech_Stack__StackShare),Framework,checked,Gestion de connaissance,checked,,"S'organiser,Documenter",,,,
Airtable,http://airtable.com,,,checked,Airtable_airtable__Twitter (https://dl.airtable.com/IA7WLPASwWLMyk5ZsCRj_Airtable_airtable__Twitter),"Plateforme,App",,Production et organisation,,,"S'organiser,Tester",Structurer une base de données,,,
andco,http://and.co,,,,AND_CO_andco__Twitter (https://dl.airtable.com/nr6Ex5DXRrKvOSMuE8b8_AND_CO_andco__Twitter),,,Production et organisation,,,S'organiser,,,,
Beautiful,https://www.beautiful.ai/,,2,,71_Beautiful.AI_Reviews_-_Pros_Cons_and_Rating__Product_Hunt (https://dl.airtable.com/.attachments/bb612835cc0098cfdd0a94b9d5d30771/4dac9019/71_Beautiful.AI_Reviews_-_Pros_Cons_and_Rating__Product_Hunt),Plateforme,,Production et organisation,,,,,,,
Deckset,https://www.deckset.com/,,,,Deckset_decksetapp__Twitter (https://dl.airtable.com/.attachments/952c45a74c1a14bb71685009fcd22f54/a04281fe/Deckset_decksetapp__Twitter),,,Production et organisation,,,S'organiser,,,,
Doodle,http://doodle.com,,,,Doodle_Easy_Scheduling_on_the_App_Store (https://dl.airtable.com/KCmR4rYrR7eUdBWMVTym_Doodle_Easy_Scheduling_on_the_App_Store),Webapp,,Production et organisation,,,S'organiser,,,,
I love PDF,https://www.ilovepdf.com/fr,,,,Amazon.com_iLovePDF_-_PDF_Converter__Editor_Appstore_for_Android (https://dl.airtable.com/qhwUdv8TKKk5MZEkRHyD_Amazon.com_iLovePDF_-_PDF_Converter__Editor_Appstore_for_Android),Webapp,,Production et organisation,,,S'organiser,,,,
IFTTT,https://ifttt.com/,,,,IFTTT_IFTTT__Twitter (https://dl.airtable.com/JLQLEXFSQ56S5ayr2LPY_IFTTT_IFTTT__Twitter),Plateforme,,Production et organisation,,,S'organiser,,,,
Log ,https://joshavanier.itch.io/log,,,,Shiitake_Mushroom_Log_Kit__Food_Gifts_Garden_Gifts__UncommonGoods (https://dl.airtable.com/.attachments/43037f99e5d04dabdddb23ef1f418c1c/56ee8093/Shiitake_Mushroom_Log_Kit__Food_Gifts_Garden_Gifts__UncommonGoods),,,Production et organisation,,,S'organiser,,,,
padlet,http://padlet.com,,,,Padlet_padlet__Twitter (https://dl.airtable.com/oiqA0XHCRieCmiERDmt9_Padlet_padlet__Twitter),Plateforme,,Production et organisation,,,S'organiser,,,,
petitlien / bit.ly,http://petitlien.fr,,,,Capture d’écran 2019-09-10 à 11.54.57.png (https://dl.airtable.com/.attachments/973b6878ab4ac8cb6b9bae0d783261eb/3c953f35/Capturedecran2019-09-10a11.54.57.png),Webapp,,Production et organisation,,,S'organiser,,,,
Pipedrive,https://www.pipedrive.com,Gestion de relation client,3,,Capture d’écran 2020-01-31 à 10_08_39.png (https://dl.airtable.com/.attachments/c32a4799b714dae87ba8a80db9628a82/553ea3c8/Capturedecran2020-01-31a10_08_39.png),"Plateforme,App",,Production et organisation,,,,,,,
protonmail ,https://protonmail.com/fr/,,,,Introducing_ProtonMail_Bridge_email_encryption_for_Outlook_... (https://dl.airtable.com/z5Qf2KRFQKqVprIKbNNe_Introducing_ProtonMail_Bridge_email_encryption_for_Outlook_...),Plateforme,,Production et organisation,,,S'organiser,,,,
slides.com,http://slides.com,,,,Slides__Create_and_share_presentations_online (https://dl.airtable.com/7hK3eQ3QhWKGX2CsRSeo_Slides__Create_and_share_presentations_online),Plateforme,,Production et organisation,,,S'organiser,,,,
SmallPDF,http://smallpdf.com,,,,Smallpdf_smallpdf__Twitter (https://dl.airtable.com/.attachments/491ea077b0c4ab2ab864a161c4db02d4/8a3d21df/Smallpdf_smallpdf__Twitter),Webapp,,Production et organisation,,,S'organiser,,,,
Super Human,https://superhuman.com/,,,,Superhuman (https://dl.airtable.com/vS6GPyTYTuas3n1hreMi_Superhuman),Plateforme,,Production et organisation,,,S'organiser,,,,
Typeform,http://typeform.com,,,,Typeform_Create_forms_that_engage_and_inspire__finder_Poland (https://dl.airtable.com/fFKTFlKTcuJ41qy1r80O_Typeform_Create_forms_that_engage_and_inspire__finder_Poland),Webapp,,Production et organisation,,,"S'organiser,Comprendre",,,,
Unroll.me,http://unroll.me,,,,Unroll.Me_Unrollme__Twitter (https://dl.airtable.com/ApO4Qi1SVW0Atz6X7n54_Unroll.Me_Unrollme__Twitter),Webapp,,Production et organisation,,,S'organiser,,,,
WeTransfer ,http://wetransfer.com,,,,WeTransfer__Slack_App_Directory (https://dl.airtable.com/0lfEv8aQDCc4T9PB5d2n_WeTransfer__Slack_App_Directory),Webapp,,Production et organisation,,,S'organiser,,,,
Wunderlist ,http://wunderlist.com,,,,Wunderlist_To-Do_List__Tasks_on_the_Mac_App_Store (https://dl.airtable.com/DwOgCtRjTzWpjTI96tuq_Wunderlist_To-Do_List__Tasks_on_the_Mac_App_Store),"App,Webapp",,Production et organisation,,,S'organiser,,,,
YouCanBook.me,http://youcanbook.me,,,,YouCanBook.me_-_EdTechInnovations (https://dl.airtable.com/Duv4MHAmR2GyyzW0qOtl_YouCanBook.me_-_EdTechInnovations),Webapp,,Production et organisation,,,S'organiser,,,,
zoom.ai,http://zoom.ai,,,,Video_Conferencing_Web_Conferencing_Webinars_Screen_Sharing_-_Zoom (https://dl.airtable.com/7WJbqEgwQqpgugG0nZcQ_Video_Conferencing_Web_Conferencing_Webinars_Screen_Sharing_-_Zoom),"App,Logiciel",,Production et organisation,,,S'organiser,,,,
Guides de dimensions,https://www.dimensions.guide/,,,,,,,Produit,,,,,,,
Construct,https://www.construct.net/fr,,,,Make_Your_Own_Games (https://dl.airtable.com/pd8uQOGvQ8GQULkr4QVR_Make_Your_Own_Games),,,Programmation simplifiée,,,,,,,
Hopscotch,https://www.gethopscotch.com/,,,,Hopscotch (https://dl.airtable.com/aweiAtP8QriP23kYn3Nk_Hopscotch),,,Programmation simplifiée,,,,,,,
Lego Boost,https://www.lego.com/fr-fr/themes/boost,"Version simplifiée des Lego Mindstorms, Lego Boost permet de construire plusieurs dispositifs interactifs. Une app permet d'initier à la programmation par blocs (comme Scratch)",2,,Scottys_Toy_Factory (https://dl.airtable.com/EA3RbTYtTd2usHUHxtbh_Scottys_Toy_Factory),"Hardware,App",checked,Programmation simplifiée,,Maker,,,,,
Max MSP,,,,,Introducing_10_Patches_from_Max__Msp_Visual_programming_language_... (https://dl.airtable.com/HJL5irhuTBOwC1FcVjS0_Introducing_10_Patches_from_Max__Msp_Visual_programming_language_...),,,Programmation simplifiée,,,,,,,
Panda Suite,https://pandasuite.com/fr/,,,,Mon_coup_de_coeur_pour_un_Panda__ELECTRICNEWS.fr (https://dl.airtable.com/BeNR7x4JTpG1fAQ0NeTb_Mon_coup_de_coeur_pour_un_Panda__ELECTRICNEWS.fr),,,Programmation simplifiée,,,,,,,
Pure Data,,,,,Pure_Data_101_Workshop__Minchee_Lab (https://dl.airtable.com/a4alBVU1SdqWbOxpzD4q_Pure_Data_101_Workshop__Minchee_Lab),,,Programmation simplifiée,,,,,,,
Scratch ,,,,,Scratch_Logos (https://dl.airtable.com/ov6sU5XMRpK1Bzw2S8No_Scratch_Logos),"Logiciel,App,Plateforme",,Programmation simplifiée,,,,,,,
Unity ,,,,,TIL_the_Unity_logo_isnt_actually_a_cube._Its_three_arrows_... (https://dl.airtable.com/ePuxRHt8SruXo73uOBfr_TIL_the_Unity_logo_isnt_actually_a_cube._Its_three_arrows_...),Logiciel,,Programmation simplifiée,,,,,,,
Unreal,,,,,Unreal_Engine__NVIDIA_Developer (https://dl.airtable.com/OjrmCoeqTa2kjpE3T6Iq_Unreal_Engine__NVIDIA_Developer),Logiciel,,Programmation simplifiée,,,,,,,
Arduino,http://arduino.cc,,,,Arduino_-_YouTube (https://dl.airtable.com/cx7j3j2zR0qtpkcdtW4f_Arduino_-_YouTube),Hardware,,Prototypage interactif,,Maker,Tester,Prototype interactif,,,
Bare Conductive,https://www.bareconductive.com/,,,,Bare_Conductive_BareConductive__Twitter (https://dl.airtable.com/SoIFzLHTvetAlhX0dJ9p_Bare_Conductive_BareConductive__Twitter),Hardware,,Prototypage interactif,,Maker,Tester,Prototype interactif,,,
Cartes Magiques,http://www.cartesmagiques.fr/,Site qui répertorie un grand nombre de cartes électroniques afin de trouver celle qui convient pour son projet,1,,Cartes_Magiques__Home (https://dl.airtable.com/.attachments/b3aab6a74dc1b3f1edfd9759c5b6a5c6/20d9b57b/Cartes_Magiques__Home),Bibliothèque,,Prototypage interactif,,Maker,Tester,Prototype interactif,,,
Lego Mindstorms ,https://www.lego.com/fr-fr/themes/mindstorms,,,,LEGO_MINDSTORMS_Education_EV3_Amazon.ca_Appstore_for_Android (https://dl.airtable.com/hcSJVJo4QAWdHUeCOXOj_LEGO_MINDSTORMS_Education_EV3_Amazon.ca_Appstore_for_Android),"Hardware,Logiciel",,Prototypage interactif,,Maker,Tester,Prototype interactif,,,
LittleBits ,http://littlebits.com,"Littelbits est un peu le Lego des dispositifs interactifs. Des petites briques de fonctionnalité (lampe, potentiomètre, capteur, etc.) peuvent être assemblées par magnet. ",,,littleBits_littleBits__Twitter (https://dl.airtable.com/K3OySH6DRB2js64noVx5_littleBits_littleBits__Twitter),Hardware,,Prototypage interactif,,Maker,Tester,Prototype interactif,,,
Makey Makey,https://makeymakey.com/,,,checked,Makey_Makey-logo_-_Digital_Promise_Global (https://dl.airtable.com/GT4FZDfWT8rLpBmxJeDt_Makey_Makey-logo_-_Digital_Promise_Global),Hardware,,Prototypage interactif,,Maker,Tester,Prototype interactif,,,
Micro:bit,https://microbit.org/fr/,,,,Make_an_Animated_Bracelet_with_microbit_-_TechGirlz (https://dl.airtable.com/pcZ2ZpSJQreAvVbi7Zxk_Make_an_Animated_Bracelet_with_microbit_-_TechGirlz),Hardware,,Prototypage interactif,,Maker,Tester,Prototype interactif,,,
Peegar,http://peegar.com/,,,,Peegar_on_Behance (https://dl.airtable.com/tGqvw9TlSZWX5fpvv0iT_Peegar_on_Behance),Hardware,,Prototypage interactif,,Maker,Tester,Prototype interactif,,,
Robo Wunderkind,https://robowunderkind.com/,,,,Robo_Wunderkind_RoboWunderkind__Twitter (https://dl.airtable.com/2A4Oc4KGQmO4c8RE1wXq_Robo_Wunderkind_RoboWunderkind__Twitter),Hardware,,Prototypage interactif,,Maker,Tester,Prototype interactif,,,
SAMlabs,https://int.samlabs.com/,,,,SAM_Labs_-_YouTube (https://dl.airtable.com/VTyq9RifSgmNnsLJarlr_SAM_Labs_-_YouTube),Hardware,,Prototypage interactif,,Maker,Tester,Prototype interactif,,,
Angle phone mock-up,https://designcode.io/angle-2,,,,,,,Rendu,,,,,,,
Devices pictures,https://facebook.design/devices,,,,47_Devices_Mock_up_By_Facebook.Design__Tech__ALL (https://dl.airtable.com/.attachments/7214c6e74dc4c6b39f2785fab5e8b904/85b6717b/47_Devices_Mock_up_By_Facebook.Design__Tech__ALL),,,Rendu,,,,,,,
Dunnnk,http://dunnnk.com/,,,,Dunnnk_on_Twitter_Preparing_a_second_series_of_Apple_Watch_... (https://dl.airtable.com/7jZcVt7lQiCLVVzAxNnp_Dunnnk_on_Twitter_Preparing_a_second_series_of_Apple_Watch_...),,,Rendu,,,,,,,
fake article journal ? ,http://journal.ninjaflex.com/,,,,,,,Rendu,,,,,,,
fake facebook etc.,http://igenerator.eu/,,,,FileFacebook_Logo_2019.png_-_Wikimedia_Commons (https://dl.airtable.com/.attachments/72cfb24f1c1e57edcb8af7c4dd2f4e4f/7ea40eb0/FileFacebook_Logo_2019.png_-_Wikimedia_Commons),,,Rendu,,,,,,,
fake whatsapp conversation,http://www.fakewhats.com/generator,,,,WhatsApp_Messenger_-_Apps_on_Google_Play (https://dl.airtable.com/.attachments/4b9de7986eace6515f23b6815658304c/53e0738d/WhatsApp_Messenger_-_Apps_on_Google_Play),,,Rendu,,,,,,,
Frame ,http://frame.lab25.co.uk/,,,,Frame_FrameByLab25__Twitter (https://dl.airtable.com/.attachments/fc43964be0ce6f7f4c38604d0d0619c8/bb5b6f8d/Frame_FrameByLab25__Twitter),,,Rendu,,,,,,,
Mock-up Studio,https://mockuuups.studio/,Logiciel pour faire des mock-ups (mise en situation de maquettes visuelles). Seules quelques images sont gratuites mais c'est toujours ça ;),2,,Mockuuups_Mockuuups__Twitter (https://dl.airtable.com/.attachments/e33baf3331f4b23b0dfb2348548aae5b/90a3574c/Mockuuups_Mockuuups__Twitter),Logiciel,checked,Rendu,,UX design,Communiquer,,,,
Mockuper,https://mockuper.net,Simple et gratuit. S'utilise directement dans le navigateur. La sélection n'est pas très variée mais peut suffire. ,2,,mockuper_MockuperNet__Twitter (https://dl.airtable.com/.attachments/deca7bf8648be305698a6c2a4a1ad7da/f5dcaf2c/mockuper_MockuperNet__Twitter),Webapp,checked,Rendu,,UX design,Communiquer,,,,
Non Scandinavian,www.nonscandinavia.com/,Bibliothèque d'images de gens à intégrer dans des rendus visuels. Offre une belle palette de types de publics pour être le plus inclusif possible.,1,,5_Places_to_Download_Free_Ethnically_Diverse_Render_People_... (https://dl.airtable.com/.attachments/e908df424f6c7f01fdfbc6c1eb5d62c0/d4be6e03/5_Places_to_Download_Free_Ethnically_Diverse_Render_People_...),Bibliothèque,checked,Rendu,,,,,,,
PSD covers,https://www.psdcovers.com/,,,,,,,Rendu,,,,,,,
Real thread ressources,https://www.realthread.com/resources,,,,,,,Rendu,,,,,,,
Twinmotion,https://twinmotion.abvent.com/fr/,,,,Twinmotion_2018_-_Mac_Torrents (https://dl.airtable.com/.attachments/8c2617e2f3ec8280e8987a694e023eb8/0eafbb85/Twinmotion_2018_-_Mac_Torrents),Logiciel,,Rendu,,,,,,,
Audacity,https://audacity.fr/,"Logiciel gratuit et open source pour éditer du son. L'interface n'est pas super intuitive, mais pratique pour faire des choses simples",3,,Audacity_getaudacity__Twitter (https://dl.airtable.com/.attachments/7a479423de61d495349cf9e591600344/559cbfaa/Audacity_getaudacity__Twitter),Logiciel,checked,Son,checked,,,,,,
BBC online archive,http://bbcsfx.acropolis.org.uk/,,,,BBC_Archive_on_Twitter_OnThisDay_1981_Carry_On_Thermocoupling_... (https://dl.airtable.com/1RAdpa7QkueYpXzeexwQ_BBC_Archive_on_Twitter_OnThisDay_1981_Carry_On_Thermocoupling_...),Bibliothèque,,Son,,,,,,,
Conserve the sound,http://www.conservethesound.de/,,,,swissmiss__Conserve_The_Sound (https://dl.airtable.com/.attachments/487ab6c43b9b9b0cbfd3159f1d8743e9/647c3986/swissmiss__Conserve_The_Sound),,,Son,,,,,,,
Converse rubber tracks ,https://www.conversesamplelibrary.com/,,,,Rubber_Tracks_rubbertracks__Twitter (https://dl.airtable.com/OgVS13HVRZGfzwIhMb42_Rubber_Tracks_rubbertracks__Twitter),Bibliothèque,,Son,,,,,,,
Crowdcast,http://crowdcast.io,,,,Crowdcast_-_Arena_Ventures (https://dl.airtable.com/R7REYvUToyin99mGqImd_Crowdcast_-_Arena_Ventures),,,Son,,,,,,,
Descript,https://www.descript.com/,,,,Descript_Edits_Audio_by_Editing_Text__Podcaster_News (https://dl.airtable.com/UxkOMEhTAaIog3Y6nYbw_Descript_Edits_Audio_by_Editing_Text__Podcaster_News),,,Son,,,,,,,
Free Music Archive,http://freemusicarchive.org/,,,,Free_Music_Archive (https://dl.airtable.com/.attachments/2b66256b0be0b00f4f86823722dd2fa4/ecb2a5f5/Free_Music_Archive),Bibliothèque,,Son,,,,,,,
Freesound,https://freesound.org/,,,checked,Freesound_freesounddev__Twitter (https://dl.airtable.com/wxxUy39wRxmoAgjZaNue_Freesound_freesounddev__Twitter),Bibliothèque,,Son,,,,,,,
Le Sondier ,http://sondekla.com,,,,Hello_world__Sondekla (https://dl.airtable.com/4kO7gLoyR0uez2Y0pnOK_Hello_world__Sondekla),,,Son,,,,,,,
Mixlr ,http://mixlr.com/,,,,Mixlr_mixlr__Twitter (https://dl.airtable.com/juTqEMXYQKCXMA8rPfrj_Mixlr_mixlr__Twitter),,,Son,,,,,,,
Natural Readers,https://www.naturalreaders.com/,,,,NaturalReader_Text_to_Speech_on_the_App_Store (https://dl.airtable.com/e1N8icsYSoWJP3WuiWZQ_NaturalReader_Text_to_Speech_on_the_App_Store),,,Son,,,,,,,
Soundcloud,http://soundcloud.com,,,,SoundCloud_SoundCloud__Twitter (https://dl.airtable.com/.attachments/4764f3df62ebbe49306e4946bf7fa7a9/a6b9fd69),Plateforme,,Son,,,,Audio story,,,
Splice,https://splice.com/,,,,Splice_-_Video_Editor__Movie_Maker_by_GoPro_App_Data__Review_... (https://dl.airtable.com/QINgbCa3TlOp4pC7UeVU_Splice_-_Video_Editor__Movie_Maker_by_GoPro_App_Data__Review_...),Plateforme,,Son,,,,,,,
text to speech,,,,,,,,Son,,,,,,,
Boords,https://boords.com/,Online storyboards,2,,Boords_boordsapp__Twitter (https://dl.airtable.com/.attachments/60a52280ebade4297b674f015716e503/b5a62c2a/Boords_boordsapp__Twitter),Plateforme,,Storytelling interactif,,,,Storyboard,,,
Conducttr,http://www.conducttr.com/,,,,Conducttr_conducttr__Twitter (https://dl.airtable.com/ZuVrY2s1Rx2ghdBUxcnh_Conducttr_conducttr__Twitter),,,Storytelling interactif,,,,,,,
Eko,https://studio.helloeko.com/,,,,Ek_ekovideo__Twitter (https://dl.airtable.com/iMrqMVTDSHW5rt6XkduX_Ek_ekovideo__Twitter),,,Storytelling interactif,,,,,,,
Ink,https://www.inklestudios.com/ink/,,,,inkle_inkleStudios__Twitter (https://dl.airtable.com/.attachments/c474fee68935de0ab7d9269572f51597/ab9781ca/inkle_inkleStudios__Twitter),,,Storytelling interactif,,,,,,,
juxtapose ,https://juxtapose.knightlab.com/,,1,,NU_Knight_Lab_knightlab__Twitter (https://dl.airtable.com/wvAeeBN9QmqpBsjmsNCB_NU_Knight_Lab_knightlab__Twitter),Webapp,,Storytelling interactif,,,,,,,
Klynt,http://www.klynt.net/,,,,Help_you_with_klynt_software_by_Caseyeclement (https://dl.airtable.com/b5AkwztSl23pkW17JPQU_Help_you_with_klynt_software_by_Caseyeclement),,,Storytelling interactif,,,,,,,
Pageflow,https://pageflow.io/en/,,,,Pageflow_on_Twitter_Update_Pageflow_12_is_here_New_VR_... (https://dl.airtable.com/XzaWvWlcTSI393rIv1Rd_Pageflow_on_Twitter_Update_Pageflow_12_is_here_New_VR_...),,,Storytelling interactif,,,,,,,
Quest,http://textadventures.co.uk/quest,,,,,,,Storytelling interactif,,,,,,,
SAP Scenes ,https://experience.sap.com/skillup/scenes-new-method-tool-create-storyboards/,Outil physique de création de storyboards ,2,,SAP_D-A-CH_-_YouTube (https://dl.airtable.com/.attachments/a1217da390b0921ca055c81f2f4e790b/9f2418a9/SAP_D-A-CH_-_YouTube),Template(s),,Storytelling interactif,,,,Storyboard,,,
Sequel,https://www.onsequel.com/,chatbot,,,Sequel_onsequel__Twitter (https://dl.airtable.com/.attachments/e693987adfa287bbf3d919ba17d687cd/a760d349/Sequel_onsequel__Twitter),,,Storytelling interactif,,,,,,,
Shorthand,https://shorthand.com/,,,,shorthand-logo-notext_-_Omeda (https://dl.airtable.com/bmMAhLesTvCOIYwpbXs8_shorthand-logo-notext_-_Omeda),,,Storytelling interactif,,,,,,,
Thinglink,https://www.thinglink.com/,,,,ThingLink_on_the_App_Store (https://dl.airtable.com/.attachments/25373323c673fd14654c9678be7a1227/9cee7c76/ThingLink_on_the_App_Store),,,Storytelling interactif,,,,,,,
Timeline js,http://timeline.knightlab.com,,1,checked,NU_Knight_Lab_knightlab__Twitter (https://dl.airtable.com/fclHGnHSGqw5tH44EAFQ_NU_Knight_Lab_knightlab__Twitter),Webapp,,Storytelling interactif,,,,,,,
